student_id,rating,research
1301,2,0
1302,2,0
1303,2,1
1304,3,1
1305,2,0
1306,3,1
1307,3,1
1308,4,1
1309,3,0
1310,4,0
1311,3,1
1312,4,1
1313,4,1
1314,3,0
1315,2,0
1316,2,0
1317,2,0
1318,1,0
1319,3,1
1320,4,1
1321,3,1
1322,3,1
1323,2,0
1324,2,0
1325,3,0
1326,3,1
1327,3,0
1328,2,0
1329,4,1
1330,2,0
1331,3,1
1332,2,1
1333,3,1
1334,3,1
1335,4,1
1336,4,1
1337,3,0
1338,5,1
1339,5,1
1340,5,1
1341,3,1
1342,3,1
1343,3,0
1344,2,0
1345,2,0
1346,1,0
1347,2,0
1348,1,0
1349,1,0
1350,3,0
1351,3,1
1352,4,1
1353,2,1
1354,3,0
1355,2,0
1356,2,0
1357,3,1
1358,2,1
1359,2,0
1360,2,0
1361,3,1
1362,4,1
1363,5,1
1364,2,0
1365,3,1
1366,4,1
1367,3,1
1368,1,0
1369,1,0
1370,1,1
1371,2,0
1372,3,1
1373,4,1
1374,3,1
1375,2,0
1376,2,0
1377,2,0
1378,1,0
1379,1,0
1380,1,1
1381,3,1
1382,3,1
1383,4,1
1384,3,0
1385,4,1
1386,5,1
1387,2,0
1388,2,0
1389,2,0
1390,3,1
1391,2,0
1392,3,0
1393,4,1
1394,2,0
1395,4,1
1396,3,1
1397,3,1
1398,4,1
1399,3,0
1400,4,1
1401,2,0
1402,2,0
1403,3,1
1404,4,1
1405,3,1
1406,3,0
1407,4,1
1408,3,1
1409,3,1
1410,1,0
1411,1,0
1412,2,0
1413,4,1
1414,3,1
1415,4,1
1416,4,1
1417,3,0
1418,3,0
1419,2,0
1420,2,1
1421,3,0
1422,3,1
1423,4,1
1424,5,1
1425,5,1
1426,5,1
1427,3,0
1428,3,1
1429,2,0
1430,5,1
1431,3,1
1432,2,1
1433,4,1
1434,4,0
1435,3,0
1436,2,0
1437,1,1
1438,1,1
1439,1,1
1440,2,0
1441,2,0
1442,1,1
1443,4,1
1444,5,1
1445,5,1
1446,5,1
1447,4,1
1448,3,1
1449,2,0
1450,3,0
1451,4,1
1452,4,1
1453,4,1
1454,3,1
1455,2,0
1456,2,0
1457,2,0
1458,1,0
1459,1,1
1460,4,1
1461,4,1
1462,3,1
1463,4,0
1464,3,0
1465,2,0
1466,4,0
1467,4,1
1468,5,1
1469,4,1
1470,4,1
1471,5,1
1472,3,0
1473,4,1
1474,2,0
1475,4,1
1476,3,0
1477,3,0
1478,4,0
1479,3,1
1480,4,1
1481,3,1
1482,4,1
1483,4,1
1484,5,0
1485,3,1
1486,2,1
1487,3,0
1488,4,0
1489,3,1
1490,3,0
1491,2,1
1492,4,0
1493,4,1
1494,2,1
1495,3,1
1496,5,1
1497,5,1
1498,5,1
1499,4,0
1500,4,0
