student_id,gre,toefl,cgpa,admit_chance
1301,309,106,8.0,0.62
1302,319,108,8.76,0.66
1303,322,105,8.45,0.65
1304,323,107,8.55,0.73
1305,313,106,8.43,0.62
1306,321,109,8.8,0.74
1307,323,110,9.1,0.79
1308,325,112,9.0,0.8
1309,312,108,8.53,0.69
1310,308,110,8.6,0.7
1311,320,104,8.74,0.76
1312,328,108,9.18,0.84
1313,311,107,9.0,0.78
1314,301,100,8.04,0.67
1315,305,105,8.13,0.66
1316,308,104,8.07,0.65
1317,298,101,7.86,0.54
1318,300,99,8.01,0.58
1319,324,111,8.8,0.79
1320,327,113,8.69,0.8
1321,317,106,8.5,0.75
1322,323,104,8.44,0.73
1323,314,107,8.27,0.72
1324,305,102,8.18,0.62
1325,315,104,8.33,0.67
1326,326,116,9.14,0.81
1327,299,100,8.02,0.63
1328,295,101,7.86,0.69
1329,324,112,8.77,0.8
1330,297,96,7.89,0.43
1331,327,113,8.66,0.8
1332,311,105,8.12,0.73
1333,308,106,8.21,0.75
1334,319,108,8.54,0.71
1335,312,107,8.65,0.73
1336,325,111,9.11,0.83
1337,319,110,8.79,0.72
1338,332,118,9.47,0.94
1339,323,108,8.74,0.81
1340,324,107,8.66,0.81
1341,312,107,8.46,0.75
1342,326,110,8.76,0.79
1343,308,106,8.24,0.58
1344,305,103,8.13,0.59
1345,295,96,7.34,0.47
1346,316,98,7.43,0.49
1347,304,97,7.64,0.47
1348,299,94,7.34,0.42
1349,302,99,7.25,0.57
1350,313,101,8.04,0.62
1351,318,107,8.27,0.74
1352,325,110,8.67,0.73
1353,303,100,8.06,0.64
1354,300,102,8.17,0.63
1355,297,98,7.67,0.59
1356,317,106,8.12,0.73
1357,327,109,8.77,0.79
1358,301,104,7.89,0.68
1359,314,105,7.64,0.7
1360,321,107,8.44,0.81
1361,322,110,8.64,0.85
1362,334,116,9.54,0.93
1363,338,115,9.23,0.91
1364,306,103,8.36,0.69
1365,313,102,8.9,0.77
1366,330,114,9.17,0.86
1367,320,104,8.34,0.74
1368,311,98,7.46,0.57
1369,298,92,7.88,0.51
1370,301,98,8.03,0.67
1371,310,103,8.24,0.72
1372,324,110,9.22,0.89
1373,336,119,9.62,0.95
1374,321,109,8.54,0.79
1375,315,105,7.65,0.39
1376,304,101,7.66,0.38
1377,297,96,7.43,0.34
1378,290,100,7.56,0.47
1379,303,98,7.65,0.56
1380,311,99,8.43,0.71
1381,322,104,8.84,0.78
1382,319,105,8.67,0.73
1383,324,110,9.15,0.82
1384,300,100,8.26,0.62
1385,340,113,9.74,0.96
1386,335,117,9.82,0.96
1387,302,101,7.96,0.46
1388,307,105,8.1,0.53
1389,296,97,7.8,0.49
1390,320,108,8.44,0.76
