student_id,rating,research
2301,2,0
2302,2,0
2303,2,1
2304,3,1
2305,2,0
2306,3,1
2307,3,1
2308,4,1
2309,3,0
2310,4,0
2311,3,1
2312,4,1
2313,4,1
2314,3,0
2315,2,0
2316,2,0
2317,2,0
2318,1,0
2319,3,1
2320,4,1
2321,3,1
2322,3,1
2323,2,0
2324,2,0
2325,3,0
2326,3,1
2327,3,0
2328,2,0
2329,4,1
2330,2,0
2331,3,1
2332,2,1
2333,3,1
2334,3,1
2335,4,1
2336,4,1
2337,3,0
2338,5,1
2339,5,1
2340,5,1
2341,3,1
2342,3,1
2343,3,0
2344,2,0
2345,2,0
2346,1,0
2347,2,0
2348,1,0
2349,1,0
2350,3,0
2351,3,1
2352,4,1
2353,2,1
2354,3,0
2355,2,0
2356,2,0
2357,3,1
2358,2,1
2359,2,0
2360,2,0
2361,3,1
2362,4,1
2363,5,1
2364,2,0
2365,3,1
2366,4,1
2367,3,1
2368,1,0
2369,1,0
2370,1,1
2371,2,0
2372,3,1
2373,4,1
2374,3,1
2375,2,0
2376,2,0
2377,2,0
2378,1,0
2379,1,0
2380,1,1
2381,3,1
2382,3,1
2383,4,1
2384,3,0
2385,4,1
2386,5,1
2387,2,0
2388,2,0
2389,2,0
2390,3,1
2391,2,0
2392,3,0
2393,4,1
2394,2,0
2395,4,1
2396,3,1
2397,3,1
2398,4,1
2399,3,0
2400,4,1
2401,2,0
2402,2,0
2403,3,1
2404,4,1
2405,3,1
2406,3,0
2407,4,1
2408,3,1
2409,3,1
2410,1,0
2411,1,0
2412,2,0
2413,4,1
2414,3,1
2415,4,1
2416,4,1
2417,3,0
2418,3,0
2419,2,0
2420,2,1
2421,3,0
2422,3,1
2423,4,1
2424,5,1
2425,5,1
2426,5,1
2427,3,0
2428,3,1
2429,2,0
2430,5,1
2431,3,1
2432,2,1
2433,4,1
2434,4,0
2435,3,0
2436,2,0
2437,1,1
2438,1,1
2439,1,1
2440,2,0
2441,2,0
2442,1,1
2443,4,1
2444,5,1
2445,5,1
2446,5,1
2447,4,1
2448,3,1
2449,2,0
2450,3,0
2451,4,1
2452,4,1
2453,4,1
2454,3,1
2455,2,0
2456,2,0
2457,2,0
2458,1,0
2459,1,1
2460,4,1
2461,4,1
2462,3,1
2463,4,0
2464,3,0
2465,2,0
2466,4,0
2467,4,1
2468,5,1
2469,4,1
2470,4,1
2471,5,1
2472,3,0
2473,4,1
2474,2,0
2475,4,1
2476,3,0
2477,3,0
2478,4,0
2479,3,1
2480,4,1
2481,3,1
2482,4,1
2483,4,1
2484,5,0
2485,3,1
2486,2,1
2487,3,0
2488,4,0
2489,3,1
2490,3,0
2491,2,1
2492,4,0
2493,4,1
2494,2,1
2495,3,1
2496,5,1
2497,5,1
2498,5,1
2499,4,0
2500,4,0
